,breed,rank,imgs,urls,intro,Affectionate with Family,Amount of Shedding,General Health,Potential for Playfulness,Kid-Friendly,Easy to Groom,Intelligence,Pet Friendly
0,Abyssinian,10,https://cattime.com/assets/uploads/2011/12/file_2678_Abyssinian-cat-breed.jpg,https://cattime.com/cat-breeds/abyssinian-cats,"A love of heights is a signal trait of the Abyssinian. He likes to be as high up as possible and will appreciate having one or more ceiling-height cat trees.See all Abyssinian characteristics below! Abyssinian Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",3,3,2,5,5,3,5,5
1,Aegean,50,https://cattime.com/assets/uploads/2019/11/aegean-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/aegean,"The Aegean is a natural cat breed cat, which means they developed without the need for human intervention. Fans of the breed recognize these felines as smart, energetic, and friendly companions.You can find these cats in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these cats to your home!The Aegean is a great family cat, with their social disposition credited to their history as one of the oldest ever domestic cat breeds around. They’re brave and intelligent kitties who get on well with kids. Although, as the breed isn’t afraid of water, it’s not normally a great idea to adopt a cat of this breed if you have a fish tank at home.See all Aegean cat breed characteristics below!Aegean Cat Breed Pictures Aegean Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",5,3,4,4,4,5,4,4
2,American Bobtail,41,https://cattime.com/assets/uploads/2011/12/file_2738_american-bobtail-460x290-460x290.jpg,https://cattime.com/cat-breeds/american-bobtail-cats,"With his short tail, tufted ears and toes, and powerful body, the American Bobtail has a distinctively wild look.See all American Bobtail characteristics below! American Bobtail Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",4,4,4,4,3,4,4,3
3,American Curl,25,https://cattime.com/assets/uploads/2011/12/file_2714_american-curl-460x290-460x290.jpg,https://cattime.com/cat-breeds/american-curl-cats,"The Curl stands out for his distinctively shaped ears, but even without them he is a striking cat with a sweet expression.See all American Curl characteristics below! American Curl Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,4,5,4,5,4,4,4
4,American Shorthair,6,https://cattime.com/assets/uploads/2011/12/file_2716_American-Shorthair-cat-bree-460x290.jpg,https://cattime.com/cat-breeds/american-shorthair,"The adaptable and good-natured American Shorthair retains his hunting ability, but these days he is more likely to be a family companion.See all American Shorthair characteristics below!  American Shorthair Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",3,3,4,2,4,4,4,4
5,American Wirehair,45,https://cattime.com/assets/uploads/2011/12/file_2740_american-wirehair-460x290-460x290.jpg,https://cattime.com/cat-breeds/american-wirehair-cats,"Sproing! That’s not the typical reaction we expect when we pet a cat, but his springy, resilient coat is part and parcel of the American Wirehair’s charm and good looks.See all American Wirehair characteristics below! American Wirehair Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",4,3,5,3,4,3,5,4
6,Aphrodite Giant,50,https://cattime.com/assets/uploads/2019/12/aphrodite-giant-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/aphrodite-giant,"The Aphrodite Giant is a natural cat breed, which means they developed without the need for human intervention. These felines are known for being gentle, loving, and intelligent.You may find these cats in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these sweet kitties to your home!The Aphrodite Giant is a large and muscular looking cat. But despite their athletic stature, they’re a total sweetheart. The breed makes an excellent family pet and loves being around children. Although, being such a sociable cat means they don’t do well left alone for long periods of time. Ensure that your kitty has a feline friend or humans around for most of the day.See all Aphrodite Giant cat breed characteristics below!Aphrodite Giant Cat Breed Pictures Aphrodite Giant Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,4,3,4,2,5,4,2
7,Arabian Mau,50,https://cattime.com/assets/uploads/2020/01/arabian-mau-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/arabian-mau,"The Arabian Mau is a natural cat breed cat, which means they developed without the need for human intervention. These felines are known for being energetic, sociable, and playful.You may find these cats in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these kitties to your home!The Arabian Mau hails from the desert regions of the world. These are athletic and sporty felines who stay active and crave play sessions. They’re friendly and trusting, so they quickly bond with the humans in their life; although, they definitely demand a lot of attention. They really need to live with a family where there are always people around to interact with.See all Arabian Mau cat breed characteristics below!Arabian Mau Cat Breed Pictures Arabian Mau Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,2,4,4,3,4,4,5
8,Asian,50,https://cattime.com/assets/uploads/2020/03/asian-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/asian,"The Asian is a mixed breed cat–a cross between the Lilac Burmese and the Chinchilla Persian. They may also have ancestry from the Bombay, Burmilla, and Tiffanie breeds. These felines are known for being social, inquisitive, and active.You may find these cats in shelters and rescues, so remember to adopt! Don’t shop if you’re looking to add this mixed breed feline to your home!Asian cats are friendly and curious and make for wonderful family pets. But before you bring one of these kitties home, know that they don’t do well when left alone all day long. That’s because they want to be around their humans all the time.See all Asian mixed cat breed characteristics below!Asian Mixed Cat Breed Pictures Asian Mixed Cat Breed Pictures, Characteristics, & FactsInitiate Gallery More articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",5,1,4,4,4,5,4,3
9,Australian Mist,50,https://cattime.com/assets/uploads/2020/01/australian-mist-mixed-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/australian-mist,"The Australian Mist is a mixed breed cat–a cross between over 30 cat breeds that predominantly include the Burmese, Abyssinian, and Australian Shorthair breeds. Friendly, loving, and energetic, these cats inherited some of the best traits from all of their parents.Australian Mists were originally known as Spotted Mist cats. You may find them in shelters and rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these cats to your home!The Australian Mist was bred be a feline who’s totally happy with always living indoors. They’re loving and tolerant, and make for ideal family pets. They can also adapt to just about any household size. Children and Australian Mists are a great mix!See all Australian Mist mixed cat breed characteristics below!Australian Mist Mixed Cat Breed Pictures Australian Mist Mixed Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",5,2,4,4,2,4,3,4
10,Balinese,30,https://cattime.com/assets/uploads/2011/12/file_2734_balinese-460x290-460x290.jpg,https://cattime.com/cat-breeds/balinese-cats,"Named for the exotically graceful dancers on the Indonesian island of Bali, the Balinese is a longhaired variety of Siamese.See all Balinese characteristics below! Balinese Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",4,3,2,4,1,4,4,4
11,Bambino,50,https://cattime.com/assets/uploads/2020/01/bambino-mixed-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/bambino,"The Bambino is a mixed breed cat–a cross between the Sphynx and what are known as Munchkin cats. Fans of these felines love them for their playful, energetic, and affectionate personalities.You may find these cats in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these kitties your home!The Bambino is a miniature cat–a type of feline sometimes called a dwarf breed. But despite their small size, this is one social and outgoing cat! In fact, you’ll need to be able to lavish them with attention and play time if you’re going to get the best out of the breed. Naturally, due to the cat’s playful nature, they’re great living in a house with kids.See all Bambino mixed cat breed characteristics below!Bambino Mixed Cat Breed Pictures Bambino Mixed Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,1,3,4,3,4,3,2
12,Bengal Cats,16,https://cattime.com/assets/uploads/2011/12/file_2706_bengal-cat-breed-picture.jpg,https://cattime.com/cat-breeds/bengal-cats,"The Bengal could never be called delicate. They’re athletes: agile and graceful with a strong, muscular body, as befits a cat who looks as if they belong in the jungle.Despite their wild appearance, Bengal cats are actually quite affectionate with their human families. That said, they also have high energy and a fun-loving, playful side. They want to stay active and need a home that can match their energy.If you can fulfill the Bengal’s need for exercise, you’ll have a smart, loving cat who can keep you on your toes.Read below for a complete list of Bengal cat breed characteristics!Bengal Cat Breed Pictures Bengal Cat Breed Information, Pictures, Behavior and CareInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",5,2,3,5,2,5,3,4
13,Birman,20,https://cattime.com/assets/uploads/2011/12/file_2708_birman-460x290-460x290.jpg,https://cattime.com/cat-breeds/birman-cats,"The Birman communicates in a soft voice, mainly to remind you that perhaps it’s time for dinner or maybe for a nice cuddle on the sofa.See all Birman Cat characteristics below! Birman Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,3,2,4,4,5,2,4
14,Bombay,37,https://cattime.com/assets/uploads/2011/12/file_2756_Bombay-cat-breed.jpg,https://cattime.com/cat-breeds/bombay-cats,"The Bombay is a smart cat who loves to play and will thrive with a family who is willing to teach tricks, play games, and provide plenty of interactive toys.See all Bombay characteristics below!Bombay Cat Breed Pictures Bombay Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery Additional articles you will be interested in:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,2,4,4,3,4,4,4
15,Brazilian Shorthair,50,https://cattime.com/assets/uploads/2019/12/brazilian-shorthair-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/brazilian-shorthair,"The Brazilian Shorthair is a purebred cat from, as you may have guessed, Brazil. These felines are known for being smart, affectionate, and energetic.You can find Brazilian Shorthairs in shelters and rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these cats to your home!The Brazilian Shorthair has roots going back to the everyday street cats of Brazil. This is a charismatic and outgoing feline who’s happy to engage in human interaction. These cats have lots of street smarts and are very curious creatures, so you’ll need to be able to provide a home environment that’s full of playtime with room to explore.See all Brazilian Shorthair cat breed characteristics below!Brazilian Shorthair Cat Breed Pictures Brazilian Shorthair Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,1,3,4,3,5,4,4
16,British Longhair,50,https://cattime.com/assets/uploads/2020/01/british-longhair-mixed-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/british-longhair,"The British Longhair is a mixed breed cat–a cross between the British Shorthair and Persian cat breeds. Friendly, independent, and affectionate, these cats inherited some of the best traits from both of their parent breeds.You may find these cats in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these kitties to your home!The British Longhair is an easygoing cat who looks like a plush teddy bear in feline form! These cats enjoy human company, but they’re also independent and low key enough to be okay if left alone for longer periods of the day. Just remember that when you’re dealing with a long-haired feline, there are extra grooming needs to commit to.See all British Longhair mixed cat breed characteristics below!British Longhair Mixed Cat Breed Pictures British Longhair Mixed Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,4,3,3,3,4,4,2
17,British Shorthair,3,https://cattime.com/assets/uploads/2011/12/file_2744_british-shorthair-460x290-460x290.jpg,https://cattime.com/cat-breeds/british-shorthair-cats,"Full of British reserve, the British Shorthair cat has a quiet voice and is an undemanding companion.While not overly affectionate, the British Shorthair tends to get along just fine with everyone. They’re mellow and will tolerate other pets, and even though they may not seek out snuggles at every opportunity, they’re happy to be scooped up for a good cuddle.While some cats get a reputation for being high-strung and jumpy, the British Shorthair is anything but. If you’re looking for a best buddy who stays calm as a cucumber and won’t do much pestering, this might just be the feline for you.See all British Shorthair cat breed characteristics below!British Shorthair Cat Breed Pictures British Shorthair Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery Additional articles you will be interested in:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",3,3,4,2,4,4,4,4
18,Burmese,19,https://cattime.com/assets/uploads/2011/12/file_2688_burmese-cat-breed-picture.jpg,https://cattime.com/cat-breeds/burmese-cats,"The Burmese is often described as a “brick wrapped in silk,” a testament to his solid, muscular body.See all Burmese cat characteristics below! Burmese Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,2,2,4,5,5,5,5
19,Burmilla,39,https://cattime.com/assets/uploads/2011/12/file_2760_burmilla-460x290-460x290.jpg,https://cattime.com/cat-breeds/burmilla-cats,"The Burmilla is adventurous but a bit of a klutz, so put away breakables when he is around.See all Burmilla cat characteristics below! Burmilla Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",4,3,3,5,4,4,3,4
20,California Spangled,50,https://cattime.com/assets/uploads/2020/01/california-spangled-mixed-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/california-spangled,"The California Spangled is a mixed breed cat–a cross between the Angora, Siamese, American Shorthair, Abyssinian, Manx, and British Shorthair breeds. Energetic, loyal, and loving, these kitties inherited some of the best traits from all of their parent breeds.You can find California Spangleds in shelters and breed specific rescues, so adopt! Don’t shop if you’re looking to add one of these kitties to your home!The California Spangled was bred to resemble a wild cat. These felines are very athletic and can be energetic, but they also have a super loving and sociable side that makes them excellent family cats. Just make sure that you have a large home environment to satisfy their play and exercise needs, and also note that the mixed breed doesn’t fare well being left alone for long periods of the day.See all California Spangled mixed cat breed characteristics below!California Spangled Mixed Cat Breed Pictures California Spangled Mixed Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,2,4,4,2,4,4,5
21,Chantilly-Tiffany,50,https://cattime.com/assets/uploads/2020/03/Chantilly-Tiffany-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/chantilly-tiffany,"The Chantilly-Tiffany is a cat breed that started with a pair of chocolate-colored kittens of unknown origin. These felines are known for being affectionate, social, and talkative.This breed originally went by the name Foreign Longhair. You may find these cats in shelters and rescues, so remember to always adopt! Don’t shop if you’re looking to add a feline to your home!The Chantilly-Tiffany is a cat who loves to be around humans and will form very strong bonds with the main people in their life. While the breed is exceptionally social and loving, this also means that they would not fare well with being left alone for long periods of the day. This cat definitely wants company all the time, whether that includes snuggling, playing, or even talking!Check out this smart feather toy, perfect for keeping this playful breed happy! Or this deshedder that will help with their semi-long hair!See all Chantilly-Tiffany cat breed characteristics below!Chantilly-Tiffany Cat Breed Pictures Chantilly-Tiffany Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,3,4,4,5,4,2,2
22,Chartreux,34,https://cattime.com/assets/uploads/2011/12/file_2718_chartreux-460x290-460x290.jpg,https://cattime.com/cat-breeds/chartreux-cats,"The Chartreux might well be compared to a mime, silent but communicative and sometimes silly.See all Chartreux characteristics below! Chartreux Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",3,4,4,3,5,3,3,2
23,Chausie,50,https://cattime.com/assets/uploads/2020/01/chausie-mixed-cat-breed-pictures-cover.jpg,https://cattime.com/cat-breeds/chausie,"The Chausie is a mixed breed cat–a cross between the Abyssinian and wild jungle cat breeds. Energetic, playful, and outgoing, these felines inherited some of the best traits and distinctive looks from their parents. They’re also one of the largest domestic cat breeds.You may find these cats in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these kitties to your home.As you’d expect from a breed with wild cat roots, the Chausie is a feline who needs a lot of space and requires a lot of playtime. This is not a cat who does well being left alone all day, and due to their wild heritage, they’re also not the best fit for a household with young children.See all Chausie mixed cat breed characteristics below!Chausie Mixed Cat Breed Pictures Chausie Mixed Cat Breed Pictures, Characteristics, & FactsInitiate Gallery Additional articles that will interest you:Best Cat NamesKittens & What To ExpectBrain Games For Your CatIndoor Exercise For CatsCat ToysCat CarriersChoosing A VeterinarianCat Food And Nutrition",4,1,4,4,3,1,3,5
24,Chinese Li Hua,50,https://cattime.com/assets/uploads/2011/12/file_2758_chinese-li-460x290-460x290.jpg,https://cattime.com/cat-breeds/chinese-li-cats,"Smart, loyal and lively, the Chinese Li Hua is gentle with people but has a reputation as a talented hunter of rats and other vermin.See all Chinese Li Hua characteristics below!  Chinese Li Hau Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",3,3,3,4,4,4,4,4
25,Colorpoint Shorthair,32,https://cattime.com/assets/uploads/2011/12/file_2732_colorpoint-shorthair-460x290-460x290.jpg,https://cattime.com/cat-breeds/colorpoint-shorthair-cats,"The Colorpoint is a loyal and loving feline who will pout and pine if given little or no attention.See all Colorpoint Shorthair characteristics below! Colorpoint Shorthair Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,2,2,5,1,4,4,4
26,Cornish Rex,15,https://cattime.com/assets/uploads/2011/12/file_2696_cornish-rex-460x290-460x290.jpg,https://cattime.com/cat-breeds/cornish-rex-cats,"If it weren’t insulting, it might be fair to describe the Cornish Rex as “doglike,” as he’s a willing retriever to thrown toys.See all Cornish Rex Cat characteristics below! Cornish Rex Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,2,3,5,2,5,5,5
27,Cymric,50,https://cattime.com/assets/uploads/2011/12/file_2690_cymrc-460x290-460x290.jpg,https://cattime.com/cat-breeds/cymric-cats,"With a Cymric around the house, you’ve got a “watchcat” who reacts rapidly and will growl threateningly or maybe even go on the attack at the sight or sound of anything out of the ordinary.See all Cymric characteristics below! Cymric Cat Breed Information, Pictures, Characteristics & FactsInitiate Gallery ",5,4,3,2,3,4,2,4
